Treatment,Length,dens
dry,559,0
dry,560,0
dry,561,0
dry,562,0
dry,563,0
dry,564,0
dry,565,0
dry,566,0
dry,567,0
dry,568,0
dry,569,0
dry,570,0
dry,571,0
dry,572,0
dry,573,0
dry,574,0
dry,575,0
dry,576,0
dry,577,0
dry,578,0
dry,579,0
dry,580,0
dry,581,0
dry,582,0
dry,583,0
dry,584,0
dry,585,0
dry,586,0
dry,587,0
dry,588,0
dry,589,0
dry,590,0
dry,591,0
dry,592,0
dry,593,0
dry,594,0
dry,595,0
dry,596,0
dry,597,0
dry,598,0
dry,599,0
dry,600,0
dry,601,0
dry,602,0
dry,603,0
dry,604,0
dry,605,0
dry,606,0
dry,607,0
dry,608,0
dry,609,0
dry,610,0
dry,611,0
dry,612,0
dry,613,0
dry,614,0
dry,615,0
dry,616,0
dry,617,0
dry,618,0
dry,619,0
dry,620,0
dry,621,0
dry,622,0
dry,623,0
dry,624,0
dry,625,0
dry,626,0
dry,627,0
dry,628,0
dry,629,0
dry,630,0
dry,631,0
dry,632,0
dry,633,0
dry,634,0
dry,635,0
dry,636,0
dry,637,0
dry,638,0
dry,639,0
dry,640,0
dry,641,0
dry,642,0
dry,643,0
dry,644,0
dry,645,0
dry,646,0
dry,647,0
dry,648,0
dry,649,0
dry,650,0
dry,651,0
dry,652,0
dry,653,0
dry,654,0
dry,655,0
dry,656,0
dry,657,0
dry,658,0
dry,659,0
dry,660,0
dry,661,0
dry,662,0
dry,663,0
dry,664,0
dry,665,0
dry,666,0
dry,667,0
dry,668,0
dry,669,0
dry,670,0
dry,671,0
dry,672,0
dry,673,0
dry,674,0
dry,675,0
dry,676,0
dry,677,0
dry,678,0
dry,679,0
dry,680,0
dry,681,0
dry,682,0
dry,683,0
dry,684,0
dry,685,0
dry,686,0
dry,687,0
dry,688,0
dry,689,0
dry,690,0
dry,691,0
dry,692,0
dry,693,0
dry,694,0
dry,695,0
dry,696,0
dry,697,0
dry,698,0
dry,699,0
dry,700,0
dry,701,0
dry,702,0
dry,703,0
dry,704,0
dry,705,0
dry,706,0
dry,707,0
dry,708,0
dry,709,0
dry,710,0
dry,711,0
dry,712,0
dry,713,0
dry,714,0
dry,715,0
dry,716,0
dry,717,0
dry,718,0
dry,719,0
dry,720,0
dry,721,0
dry,722,0
dry,723,0
dry,724,0
dry,725,0
dry,726,0
dry,727,0
dry,728,0
dry,729,0
dry,730,0
dry,731,0
dry,732,0
dry,733,0
dry,734,0
dry,735,0
dry,736,0
dry,737,0
dry,738,0
dry,739,0
dry,740,0
dry,741,0
dry,742,0
dry,743,0
dry,744,0
dry,745,0
dry,746,0
dry,747,0
dry,748,0
dry,749,0
dry,750,0
dry,751,0
dry,752,0
dry,753,0
dry,754,0
dry,755,0
dry,756,0
dry,757,0
dry,758,0
dry,759,0
dry,760,0
dry,761,0
dry,762,0
dry,763,0
dry,764,0
dry,765,0
dry,766,0
dry,767,0
dry,768,0
dry,769,0
dry,770,0
dry,771,0
dry,772,0
dry,773,0
dry,774,0
dry,775,0
dry,776,0
dry,777,0
dry,778,0
dry,779,0
dry,780,0
dry,781,0
dry,782,0
dry,783,0
dry,784,0
dry,785,0
dry,786,0
dry,787,0
dry,788,0
dry,789,0
dry,790,0
dry,791,0
dry,792,0
dry,793,0
dry,794,0
dry,795,0
dry,796,0
dry,797,0
dry,798,0
dry,799,0
dry,800,0
dry,801,0
dry,802,0
dry,803,0
dry,804,0
dry,805,0
dry,806,0
dry,807,0
dry,808,0
dry,809,0
dry,810,0
dry,811,0
dry,812,0
dry,813,0
dry,814,0
dry,815,0
dry,816,0
dry,817,0
dry,818,0
dry,819,0
dry,820,0
dry,821,0
dry,822,0
dry,823,0
dry,824,0
dry,825,0
dry,826,0
dry,827,0
dry,828,0
dry,829,0
dry,830,0
dry,831,0
dry,832,0
dry,833,0
dry,834,0
dry,835,0
dry,836,0
dry,837,0
dry,838,0
dry,839,0
dry,840,0
dry,841,0
dry,842,0
dry,843,0
dry,844,0
dry,845,0
dry,846,0
dry,847,0
dry,848,0
dry,849,0
dry,850,0
dry,851,0
dry,852,0
dry,853,0
dry,854,0
dry,855,0
dry,856,0
dry,857,0
dry,858,0
dry,859,0
dry,860,0
dry,861,0
dry,862,0
dry,863,0
dry,864,0
dry,865,0
dry,866,0
dry,867,0
dry,868,0
dry,869,0
dry,870,0
dry,871,0
dry,872,0
dry,873,0
dry,874,0
dry,875,0
dry,876,0
dry,877,0
dry,878,0
dry,879,0
dry,880,0
dry,881,0
dry,882,0
dry,883,0
dry,884,0
dry,885,0
dry,886,0
dry,887,0
dry,888,0
dry,889,0
dry,890,0
dry,891,0
dry,892,0
dry,893,0
dry,894,0
dry,895,0
dry,896,0
dry,897,0
dry,898,0
dry,899,0
dry,900,0
dry,901,0
dry,902,0
dry,903,0
dry,904,0
dry,905,0
dry,906,0
dry,907,0
dry,908,0
dry,909,0
dry,910,0
dry,911,0
dry,912,0
dry,913,0
dry,914,0
dry,915,0
dry,916,0
dry,917,0
dry,918,0
dry,919,0
dry,920,0
dry,921,0
dry,922,0
dry,923,0
dry,924,0
dry,925,0
dry,926,0
dry,927,0
dry,928,0
dry,929,0
dry,930,0
dry,931,0
dry,932,0
dry,933,0
dry,934,0
dry,935,0
dry,936,0
dry,937,0
dry,938,0
dry,939,0
dry,940,0
dry,941,0
dry,942,0
dry,943,0
dry,944,0
dry,945,0
dry,946,0
dry,947,0
dry,948,0
dry,949,0
dry,950,0
dry,951,0
dry,952,0
dry,953,0
dry,954,0
dry,955,0
dry,956,0
dry,957,0
dry,958,0
dry,959,0
dry,960,0
dry,961,0
dry,962,0
dry,963,0
dry,964,0
dry,965,0
dry,966,0
dry,967,0
dry,968,0
dry,969,0
dry,970,0
dry,971,0
dry,972,0
dry,973,0
dry,974,0
dry,975,0
dry,976,0
dry,977,0
dry,978,0
dry,979,0
dry,980,0
dry,981,0
dry,982,0
dry,983,0
dry,984,0
dry,985,0
dry,986,0
dry,987,0
dry,988,0
dry,989,0
dry,990,0
dry,991,0
dry,992,0
dry,993,0
dry,994,0
dry,995,0
dry,996,0
dry,997,0
dry,998,0
dry,999,0
dry,1000,0
dry,1001,0
dry,1002,0
dry,1003,0
dry,1004,0
dry,1005,0
dry,1006,0
dry,1007,0
dry,1008,0
dry,1009,0
dry,1010,0
dry,1011,0
dry,1012,0
dry,1013,0
dry,1014,0
dry,1015,0
dry,1016,0
dry,1017,0
dry,1018,0
dry,1019,0
dry,1020,0
dry,1021,0
dry,1022,0
dry,1023,0
dry,1024,0
dry,1025,0
dry,1026,0
dry,1027,0
dry,1028,0
dry,1029,0
dry,1030,0
dry,1031,0
dry,1032,0
dry,1033,0
dry,1034,0
dry,1035,0
dry,1036,0
dry,1037,0
dry,1038,0
dry,1039,0
dry,1040,0
dry,1041,0
dry,1042,0
dry,1043,0
dry,1044,0
dry,1045,0
dry,1046,0
dry,1047,0
dry,1048,0
dry,1049,0
dry,1050,0
dry,1051,0
dry,1052,0
dry,1053,0
dry,1054,0
dry,1055,0
dry,1056,0
dry,1057,0
dry,1058,0
dry,1059,0
dry,1060,0
dry,1061,0
dry,1062,0
dry,1063,0
dry,1064,0
dry,1065,0
dry,1066,0
dry,1067,0
dry,1068,0
dry,1069,0
dry,1070,0
dry,1071,0
dry,1072,0
dry,1073,0
dry,1074,0
dry,1075,0
dry,1076,0
dry,1077,0
dry,1078,0
dry,1079,0
dry,1080,0
dry,1081,0
dry,1082,0
dry,1083,0
dry,1084,0
dry,1085,0
dry,1086,0
dry,1087,0
dry,1088,0
dry,1089,0
dry,1090,0
dry,1091,0
dry,1092,0
dry,1093,0
dry,1094,0
dry,1095,0
dry,1096,0
dry,1097,0
dry,1098,0
dry,1099,0
dry,1100,0
dry,1101,0
dry,1102,0
dry,1103,0
dry,1104,0
dry,1105,0
dry,1106,0
dry,1107,0
dry,1108,0
dry,1109,0
dry,1110,0
dry,1111,0
dry,1112,0
dry,1113,0
dry,1114,0
dry,1115,0
dry,1116,0
dry,1117,0
dry,1118,0
dry,1119,0
dry,1120,0
dry,1121,0
dry,1122,0
dry,1123,0
dry,1124,0
dry,1125,0
dry,1126,0
dry,1127,0
dry,1128,0
dry,1129,0
dry,1130,0
dry,1131,0
dry,1132,0
dry,1133,0
dry,1134,0
dry,1135,0
dry,1136,0
dry,1137,0
dry,1138,0
dry,1139,0
dry,1140,0
dry,1141,0
dry,1142,0
dry,1143,0
dry,1144,0
dry,1145,0
dry,1146,0
dry,1147,0
dry,1148,0
dry,1149,0
dry,1150,0
dry,1151,0
dry,1152,0
dry,1153,0
dry,1154,0
dry,1155,0
dry,1156,0
dry,1157,0
dry,1158,0
dry,1159,0
dry,1160,0
dry,1161,0
dry,1162,0
dry,1163,0
dry,1164,0
dry,1165,0
dry,1166,0
dry,1167,0
dry,1168,0
dry,1169,0
dry,1170,0
dry,1171,0
dry,1172,0
dry,1173,0
dry,1174,0
dry,1175,0
dry,1176,0
dry,1177,0
dry,1178,0
dry,1179,0
dry,1180,0
dry,1181,0
dry,1182,0
dry,1183,0
dry,1184,0
dry,1185,1
dry,1186,1
dry,1187,2
dry,1188,2
dry,1189,2
dry,1190,3
dry,1191,3
dry,1192,3
dry,1193,3
dry,1194,3
dry,1195,4
dry,1196,4
dry,1197,4
dry,1198,7
dry,1199,9
dry,1200,9
dry,1201,9
dry,1202,9
dry,1203,9
dry,1204,9
dry,1205,9
dry,1206,9
dry,1207,9
dry,1208,9
dry,1209,9
dry,1210,9
dry,1211,9
dry,1212,9
dry,1213,9
dry,1214,9
dry,1215,9
dry,1216,9
dry,1217,9
dry,1218,9
dry,1219,9
dry,1220,9
dry,1221,9
dry,1222,9
dry,1223,9
dry,1224,9
dry,1225,9
dry,1226,9
dry,1227,9
dry,1228,9
dry,1229,9
dry,1230,9
dry,1231,9
dry,1232,9
dry,1233,9
dry,1234,9
dry,1235,9
dry,1236,9
dry,1237,8
dry,1238,8
dry,1239,6
dry,1240,7
dry,1241,8
dry,1242,8
dry,1243,7
dry,1244,7
dry,1245,7
dry,1246,7
dry,1247,7
dry,1248,7
dry,1249,7
dry,1250,7
dry,1251,7
dry,1252,7
dry,1253,7
dry,1254,7
dry,1255,7
dry,1256,7
dry,1257,7
dry,1258,7
dry,1259,7
dry,1260,7
dry,1261,6
dry,1262,6
dry,1263,5
dry,1264,5
dry,1265,5
dry,1266,5
dry,1267,5
dry,1268,5
dry,1269,5
dry,1270,5
dry,1271,5
dry,1272,5
dry,1273,5
dry,1274,5
dry,1275,5
dry,1276,5
dry,1277,4
dry,1278,4
dry,1279,4
dry,1280,4
dry,1281,4
dry,1282,4
dry,1283,4
dry,1284,4
dry,1285,4
dry,1286,4
dry,1287,4
dry,1288,4
dry,1289,4
dry,1290,4
dry,1291,4
dry,1292,4
dry,1293,4
dry,1294,4
dry,1295,4
dry,1296,4
dry,1297,4
dry,1298,4
dry,1299,4
dry,1300,4
dry,1301,4
dry,1302,4
dry,1303,4
dry,1304,4
dry,1305,4
dry,1306,4
dry,1307,4
dry,1308,4
dry,1309,4
dry,1310,4
dry,1311,4
dry,1312,4
dry,1313,4
dry,1314,4
dry,1315,4
dry,1316,4
dry,1317,4
dry,1318,4
dry,1319,4
dry,1320,4
dry,1321,4
dry,1322,4
dry,1323,4
dry,1324,5
dry,1325,5
dry,1326,5
dry,1327,5
dry,1328,5
dry,1329,5
dry,1330,5
dry,1331,5
dry,1332,5
dry,1333,5
dry,1334,5
dry,1335,5
dry,1336,5
dry,1337,5
dry,1338,5
dry,1339,5
dry,1340,5
dry,1341,5
dry,1342,5
dry,1343,5
dry,1344,5
dry,1345,5
dry,1346,5
dry,1347,5
dry,1348,5
dry,1349,5
dry,1350,5
dry,1351,5
dry,1352,5
dry,1353,5
dry,1354,5
dry,1355,5
dry,1356,5
dry,1357,1
dry,1358,5
dry,1359,5
dry,1360,5
dry,1361,5
dry,1362,5
dry,1363,5
dry,1364,5
dry,1365,5
dry,1366,5
dry,1367,5
dry,1368,5
dry,1369,5
dry,1370,5
dry,1371,5
dry,1372,4
dry,1373,4
dry,1374,4
dry,1375,4
dry,1376,4
dry,1377,4
dry,1378,4
dry,1379,4
dry,1380,4
dry,1381,4
dry,1382,5
dry,1383,5
dry,1384,5
dry,1385,6
dry,1386,6
dry,1387,6
dry,1388,6
dry,1389,6
dry,1390,6
dry,1391,6
dry,1392,6
dry,1393,6
dry,1394,6
dry,1395,5
dry,1396,5
dry,1397,5
dry,1398,5
dry,1399,5
dry,1400,5
dry,1401,5
dry,1402,5
dry,1403,5
dry,1404,5
dry,1405,4
dry,1406,4
dry,1407,4
dry,1408,4
dry,1409,4
dry,1410,5
dry,1411,5
dry,1412,6
dry,1413,6
dry,1414,6
dry,1415,6
dry,1416,6
dry,1417,6
dry,1418,6
dry,1419,6
dry,1420,6
dry,1421,6
dry,1422,6
dry,1423,6
dry,1424,6
dry,1425,6
dry,1426,6
dry,1427,6
dry,1428,6
dry,1429,6
dry,1430,6
dry,1431,6
dry,1432,6
dry,1433,6
dry,1434,6
dry,1435,6
dry,1436,6
dry,1437,6
dry,1438,6
dry,1439,6
dry,1440,6
dry,1441,6
dry,1442,6
dry,1443,6
dry,1444,9
dry,1445,8
dry,1446,10
dry,1447,11
dry,1448,12
dry,1449,12
dry,1450,12
dry,1451,12
dry,1452,12
dry,1453,12
dry,1454,16
dry,1455,16
dry,1456,16
dry,1457,16
dry,1458,16
dry,1459,18
dry,1460,18
dry,1461,27
dry,1462,28
dry,1463,28
dry,1464,28
dry,1465,28
dry,1466,28
dry,1467,28
dry,1468,29
dry,1469,29
dry,1470,29
dry,1471,29
dry,1472,29
dry,1473,29
dry,1474,29
dry,1475,30
dry,1476,30
dry,1477,30
dry,1478,31
dry,1479,32
dry,1480,32
dry,1481,32
dry,1482,32
dry,1483,33
dry,1484,33
dry,1485,33
dry,1486,33
dry,1487,34
dry,1488,34
dry,1489,35
dry,1490,35
dry,1491,35
dry,1492,36
dry,1493,37
dry,1494,39
dry,1495,41
dry,1496,41
dry,1497,49
dry,1498,49
dry,1499,50
dry,1500,57
dry,1501,58
dry,1502,58
dry,1503,59
dry,1504,60
dry,1505,61
dry,1506,62
dry,1507,62
dry,1508,62
dry,1509,64
dry,1510,64
dry,1511,68
dry,1512,75
dry,1513,98
dry,1514,113
dry,1515,116
dry,1516,121
dry,1517,122
dry,1518,126
dry,1519,127
dry,1520,131
dry,1521,132
dry,1522,138
dry,1523,155
dry,1524,158
dry,1525,160
dry,1526,163
dry,1527,164
dry,1528,165
dry,1529,165
dry,1530,165
dry,1531,167
dry,1532,167
dry,1533,167
dry,1534,168
dry,1535,170
dry,1536,173
dry,1537,173
dry,1538,175
dry,1539,177
dry,1540,178
dry,1541,178
dry,1542,182
dry,1543,183
dry,1544,185
dry,1545,188
dry,1546,189
dry,1547,189
dry,1548,189
dry,1549,189
dry,1550,190
dry,1551,190
dry,1552,190
dry,1553,191
dry,1554,191
dry,1555,193
dry,1556,197
dry,1557,197
dry,1558,197
dry,1559,197
dry,1560,197
dry,1561,197
dry,1562,198
dry,1563,198
dry,1564,200
dry,1565,201
dry,1566,201
dry,1567,201
dry,1568,201
dry,1569,201
dry,1570,201
dry,1571,201
dry,1572,201
dry,1573,203
dry,1574,202
dry,1575,200
dry,1576,200
dry,1577,200
dry,1578,200
dry,1579,199
dry,1580,200
dry,1581,201
dry,1582,202
dry,1583,200
dry,1584,197
dry,1585,197
dry,1586,196
dry,1587,197
dry,1588,197
dry,1589,197
dry,1590,197
dry,1591,197
dry,1592,196
dry,1593,194
dry,1594,194
dry,1595,193
dry,1596,189
dry,1597,190
dry,1598,190
dry,1599,189
dry,1600,189
dry,1601,187
dry,1602,187
dry,1603,186
dry,1604,185
dry,1605,185
dry,1606,185
dry,1607,185
dry,1608,185
dry,1609,182
dry,1610,181
dry,1611,175
dry,1612,174
dry,1613,171
dry,1614,170
dry,1615,169
dry,1616,168
dry,1617,165
dry,1618,165
dry,1619,165
dry,1620,165
dry,1621,165
dry,1622,165
dry,1623,164
dry,1624,164
dry,1625,164
dry,1626,162
dry,1627,159
dry,1628,156
dry,1629,156
dry,1630,156
dry,1631,155
dry,1632,154
dry,1633,153
dry,1634,152
dry,1635,152
dry,1636,152
dry,1637,151
dry,1638,145
dry,1639,109
dry,1640,108
dry,1641,102
dry,1642,102
dry,1643,88
dry,1644,35
dry,1645,15
dry,1646,15
dry,1647,15
dry,1648,15
dry,1649,15
dry,1650,14
dry,1651,13
dry,1652,13
dry,1653,13
dry,1654,12
dry,1655,9
dry,1656,10
dry,1657,10
dry,1658,10
dry,1659,10
dry,1660,10
dry,1661,10
dry,1662,10
dry,1663,10
dry,1664,10
dry,1665,10
dry,1666,10
dry,1667,10
dry,1668,10
dry,1669,10
dry,1670,10
dry,1671,10
dry,1672,10
dry,1673,10
dry,1674,10
dry,1675,10
dry,1676,10
dry,1677,10
dry,1678,10
dry,1679,10
dry,1680,10
dry,1681,10
dry,1682,9
dry,1683,9
dry,1684,9
dry,1685,9
dry,1686,9
dry,1687,9
dry,1688,9
dry,1689,9
dry,1690,9
dry,1691,8
dry,1692,8
dry,1693,8
dry,1694,8
dry,1695,8
dry,1696,7
dry,1697,7
dry,1698,7
dry,1699,7
dry,1700,7
dry,1701,6
dry,1702,6
dry,1703,6
dry,1704,6
dry,1705,6
dry,1706,6
dry,1707,6
dry,1708,5
dry,1709,5
dry,1710,5
dry,1711,5
dry,1712,5
dry,1713,5
dry,1714,5
dry,1715,5
dry,1716,5
dry,1717,5
dry,1718,4
dry,1719,4
dry,1720,4
dry,1721,4
dry,1722,3
dry,1723,3
dry,1724,3
dry,1725,3
dry,1726,2
dry,1727,1
dry,1728,1
dry,1729,1
dry,1730,1
dry,1731,1
dry,1732,1
dry,1733,1
dry,1734,1
dry,1735,1
dry,1736,0
dry,1737,0
dry,1738,3
dry,1739,4
dry,1740,4
dry,1741,4
dry,1742,5
dry,1743,5
dry,1744,5
dry,1745,6
dry,1746,6
dry,1747,6
dry,1748,6
dry,1749,6
dry,1750,6
dry,1751,6
dry,1752,6
dry,1753,6
dry,1754,6
dry,1755,6
dry,1756,6
dry,1757,6
dry,1758,6
dry,1759,6
dry,1760,6
dry,1761,6
dry,1762,6
dry,1763,6
dry,1764,6
dry,1765,6
dry,1766,6
dry,1767,6
dry,1768,6
dry,1769,6
dry,1770,6
dry,1771,6
dry,1772,6
dry,1773,6
dry,1774,6
dry,1775,6
dry,1776,6
dry,1777,6
dry,1778,6
dry,1779,6
dry,1780,6
dry,1781,5
dry,1782,5
dry,1783,5
dry,1784,4
dry,1785,4
dry,1786,3
dry,1787,2
dry,1788,2
dry,1789,2
dry,1790,2
dry,1791,1
dry,1792,1
dry,1793,1
dry,1794,1
dry,1795,1
dry,1796,1
dry,1797,1
dry,1798,1
dry,1799,0
dry,1800,0
dry,1801,0
dry,1802,0
dry,1803,0
dry,1804,0
dry,1805,0
dry,1806,0
dry,1807,0
dry,1808,0
dry,1809,0
dry,1810,0
dry,1811,0
dry,1812,0
dry,1813,0
dry,1814,0
dry,1815,0
dry,1816,0
dry,1817,0
dry,1818,0
dry,1819,0
dry,1820,0
dry,1821,0
dry,1822,0
dry,1823,0
dry,1824,0
dry,1825,0
dry,1826,0
dry,1827,0
dry,1828,0
dry,1829,0
dry,1830,0
dry,1831,0
dry,1832,0
dry,1833,0
dry,1834,0
dry,1835,0
dry,1836,0
dry,1837,0
dry,1838,0
dry,1839,0
dry,1840,0
dry,1841,0
dry,1842,0
dry,1843,0
dry,1844,0
dry,1845,0
dry,1846,0
dry,1847,0
dry,1848,0
dry,1849,0
dry,1850,0
dry,1851,0
dry,1852,0
dry,1853,0
dry,1854,0
dry,1855,0
dry,1856,0
dry,1857,0
dry,1858,0
dry,1859,0
dry,1860,0
dry,1861,0
dry,1862,0
dry,1863,0
dry,1864,0
dry,1865,0
dry,1866,0
dry,1867,0
dry,1868,0
dry,1869,2
dry,1870,2
dry,1871,2
dry,1872,3
